country,ICAO,IATA,city,city_en,name,name_en,latitude,longitude,timezone
CN,,BFU,Bengbu,,,,32.847733,117.320244,Asia/Shanghai
CN,,HBQ,海北,Haibei,海北祁连机场,Haibei Qilian Airport,38.012,100.644,Asia/Shanghai
CN,,JIU,Jiujiang,,,,29.476944,115.801111,Asia/Shanghai
CN,,RUG,Rugao,,,,32.257884,120.501655,Asia/Shanghai
CN,,SHP,,,,,39.968102,119.731003,Asia/Shanghai
CN,,SIA,西安,,,,34.376701,109.120003,Asia/Shanghai
CN,,SXJ,Shanshan,,,,42.911701,90.247497,Asia/Shanghai
CN,ZBAA,PEK,北京,Beijing,北京首都国际机场,Capital,40.084152,116.592735,Asia/Shanghai
CN,ZBAD,PKX,北京,Beijing,北京大兴国际机场,Daxing,39.509167,116.410553,Asia/Shanghai
CN,ZBAL,AXF,阿拉善左旗,Alxa Left Banner,阿拉善左旗巴彦浩特机场,Alxa Left Banner,38.823318,105.630966,Asia/Shanghai
CN,ZBAR,RHT,阿拉善右旗,Alxa Right Banner,阿拉善右旗巴丹吉林机场,Alxa Right Banner,39.225,101.546,Asia/Shanghai
CN,ZBCD,CDE,承德,Chengde,承德普宁机场,Puning,41.122501,118.073891,Asia/Shanghai
CN,ZBCF,CIF,赤峰,Chifeng,赤峰玉龙机场,Yulong,42.235001,118.908302,Asia/Shanghai
CN,ZBCZ,CIH,长治,Changzhi,长治王村机场,Wangcun,36.247501,113.125801,Asia/Shanghai
CN,ZBDS,DSN,鄂尔多斯,Dongsheng,鄂尔多斯伊金霍洛国际机场,Dongsheng Ordos Ejin Horo,39.849998,110.033333,Asia/Shanghai
CN,ZBDT,DAT,大同,Datong,大同云冈机场,Datong Yungang,40.055538,113.481361,Asia/Shanghai
CN,ZBEN,EJN,额济纳旗,Ejin Banner,额济纳旗桃来机场,Ejin Banner Taolai Airport,42.01556,101.00056,Asia/Shanghai
CN,ZBER,ERL,二连浩特,Erenhot,二连浩特赛乌苏机场,Erenhot Saiwusu,43.422501,112.096664,Asia/Shanghai
CN,ZBES,YIE,阿尔山,Arxan,阿尔山伊尔施机场,Arxan Yiershi,47.310555,119.911942,Asia/Shanghai
CN,ZBHD,HDG,邯郸,Handan,邯郸机场,Handan,36.523888,114.43,Asia/Shanghai
CN,ZBHH,HET,呼和浩特,Hohhot,呼和浩特白塔国际机场,Hohhot Baita,40.851421,111.824097,Asia/Shanghai
CN,ZBHZ,HUO,霍林郭勒,Holingol,霍林郭勒霍林河机场,Holingol Huolinhe,47.316666,123.916664,Asia/Shanghai
CN,ZBLA,HLD,呼伦贝尔,Hailar,呼伦贝尔海拉尔机场,Hailar Hulunbuir,49.20499,119.824997,Asia/Shanghai
CN,ZBLF,LFQ,临汾,Linfen,临汾乔李机场,Linfen Qiaoli,36.131668,111.658058,Asia/Shanghai
CN,ZBLL,LLV,吕梁,Lyuliang,吕梁大武机场,Lyuliang,37.683334,111.142776,Asia/Shanghai
CN,ZBMZ,NZH,满洲里,Manzhouli,满洲里西郊机场,Manzhouli Xijiao,49.560001,117.32,Asia/Shanghai
CN,ZBNY,NAY,北京,Beijing,北京南苑机场,Nanyuan,39.781111,116.386666,Asia/Shanghai
CN,ZBOW,BAV,包头,Baotou,包头东河机场,Baotou Erliban,40.55999,109.996902,Asia/Shanghai
CN,ZBSJ,SJW,石家庄,Shijiazhuang,石家庄正定国际机场,Shijiazhuang Zhengding,38.274376,114.694427,Asia/Shanghai
CN,ZBSN,TVS,唐山,Tangshan,唐山三女河机场,Tangshan Sannuhe,39.718784,117.99791,Asia/Shanghai
CN,ZBTJ,TSN,天津,Tianjin,天津滨海国际机场,Tianjin Binhai,39.124352,117.3461,Asia/Shanghai
CN,ZBTL,TGO,通辽,Tongliao,通辽机场,Tongliao,43.55666,122.199699,Asia/Shanghai
CN,ZBUC,UCB,乌兰察布,Ulanqab,乌兰察布集宁机场,Ulanqab Jining,41.129723,113.108055,Asia/Shanghai
CN,ZBUH,WUA,乌海,Wuhai,乌海机场,Wuhai,39.791943,106.803329,Asia/Shanghai
CN,ZBUL,HLH,乌兰浩特,Ulanhot,乌兰浩特义勒力特机场,Ulanhot,46.194439,122.008598,Asia/Shanghai
CN,ZBXH,XIL,锡林浩特,Xilinhot,锡林浩特机场,Xilinhot,43.91555,115.963799,Asia/Shanghai
CN,ZBXZ,WUT,忻州,Xinzhou,忻州五台山机场,Xinzhou Wutaishan,38.599167,112.967781,Asia/Shanghai
CN,ZBYC,YCU,运城,Yuncheng,运城关公机场,Yuncheng Guangong,35.116669,111.039719,Asia/Shanghai
CN,ZBYN,TYN,太原,Taiyuan,太原武宿国际机场,Taiyuan Wusu,37.746891,112.628403,Asia/Shanghai
CN,ZBYZ,RLK,巴彦淖尔,Bayannur,巴彦淖尔天吉泰机场,Bayannur Tianjitai,40.926388,107.738892,Asia/Shanghai
CN,ZBZJ,ZQZ,张家口,Zhangjiakou,张家口宁远机场,Ningyuan,40.739227,114.931458,Asia/Shanghai
CN,ZBZL,NZL,扎兰屯,Zhalantun,扎兰屯成吉思汗机场,Zhalantun Chengjisihan,47.869061,122.76841,Asia/Shanghai
CN,ZGBH,BHY,北海,Beihai,北海福成机场,Beihai Fucheng,21.53944,109.2938,Asia/Shanghai
CN,ZGBS,AEB,百色,Baise,百色巴马机场,Baise Bama,23.719469,106.967773,Asia/Shanghai
CN,ZGCD,CGD,常德,Changde,常德桃花源机场,Changde Taohuayuan,28.91888,111.640198,Asia/Shanghai
CN,ZGCJ,HJJ,怀化,Huaihua,怀化芷江机场,Huaihua Zhijiang,27.441389,109.699722,Asia/Shanghai
CN,ZGDY,DYG,张家界,Zhangjiajie,张家界荷花国际机场,Hehua,29.107121,110.445686,Asia/Shanghai
CN,ZGFS,FUO,佛山,Foshan,佛山沙堤机场,Foshan Shadi,23.0825,113.070831,Asia/Shanghai
CN,ZGGG,CAN,广州,Guangzhou,广州白云国际机场,Baiyun,23.392429,113.298698,Asia/Shanghai
CN,ZGHA,CSX,长沙,Changsha,长沙黄花国际机场,Huanghua,28.196667,113.220833,Asia/Shanghai
CN,ZGHC,HCJ,河池,,河池金城江机场,,24.806944,107.711944,Asia/Shanghai
CN,ZGHY,HNY,衡阳,Hengyang,衡阳南岳机场,Hengyang nanyue,26.721945,112.618057,Asia/Shanghai
CN,ZGHZ,HUZ,惠州,Huizhou,惠州平潭机场,Huizhou Pingtan,23.050419,114.596863,Asia/Shanghai
CN,ZGKL,KWL,桂林,Guilin,桂林两江国际机场,Guilin Liangjiang,25.2181,110.039101,Asia/Shanghai
CN,ZGLG,LLF,永州,,永州零陵机场,,26.341111,111.617777,Asia/Shanghai
CN,ZGMX,MXZ,梅州,Meixian,梅县机场,Meixian,24.268999,116.103996,Asia/Shanghai
CN,ZGNN,NNG,南宁,Nanning,南宁吴圩国际机场,Wuxu,22.608259,108.172401,Asia/Shanghai
CN,ZGOW,SWA,汕头,Jieyang,揭阳潮汕国际机场,Chaoshan,23.5525,116.505836,Asia/Shanghai
CN,ZGSD,ZUH,珠海,Zhuhai,珠海金湾机场,Jinwan,22.00666,113.376297,Asia/Shanghai
CN,ZGSY,WGN,邵阳,Shaoyang,邵阳武冈机场,Wugang,26.802,110.641998,Asia/Shanghai
CN,ZGSZ,SZX,深圳,Shenzhen,深圳宝安国际机场,Bao'an,22.63925,113.8106,Asia/Shanghai
CN,ZGWZ,WUZ,梧州,Wuzhou,梧州西江机场,Wuzhou Xijiang,23.40356,111.099651,Asia/Shanghai
CN,ZGYY,YYA,岳阳,Yueyang,岳阳三荷机场,Yueyang Sanhe,29.312778,113.28167,Asia/Shanghai
CN,ZGZH,LZH,柳州,Liuzhou,柳州白莲机场,Liuzhou Bailian,24.2075,109.391098,Asia/Shanghai
CN,ZGZJ,ZHA,湛江,Zhanjiang,湛江坡头机场,Zhanjiang,21.214439,110.358299,Asia/Shanghai
CN,ZHCC,CGO,郑州,Zhengzhou,郑州新郑国际机场,Zhengzhou Xinzheng,34.519669,113.840797,Asia/Shanghai
CN,ZHES,ENH,恩施,Enshi,恩施许家坪机场,Enshi Xujiaping,30.320278,109.485001,Asia/Shanghai
CN,ZHHH,WUH,武汉,Wuhan,武汉天河国际机场,Wuhan Tianhe,30.783751,114.208099,Asia/Shanghai
CN,ZHLY,LYA,洛阳,Luoyang,洛阳北郊机场,Luoyang Beijiao,34.741112,112.388298,Asia/Shanghai
CN,ZHNY,NNY,南阳,Nanyang,南阳姜营机场,Nanyang Jiangying,32.98,112.610001,Asia/Shanghai
CN,ZHSN,HPG,神农架,Shennongjia,神农架红坪机场,Shennongjia Hongping,31.633612,110.338058,Asia/Shanghai
CN,ZHSY,WDS,十堰,Shiyan,十堰武当山机场,Shiyan Wudangshan,32.591667,110.907776,Asia/Shanghai
CN,ZHXF,XFN,襄阳,Xiangyang,襄阳刘集机场,Xiangyang Liuji,32.150551,112.290802,Asia/Shanghai
CN,ZHXY,XAI,信阳,Xinyang,信阳明港机场,Xinyang Minggang,32.541389,114.077782,Asia/Shanghai
CN,ZHYC,YIH,宜昌,Yichang,宜昌三峡机场,Yichang Sanxia,30.556473,111.479942,Asia/Shanghai
CN,ZJHK,HAK,海口,Haikou,海口美兰国际机场,Haikou Meilan,19.934851,110.4589,Asia/Shanghai
CN,ZJQH,BAR,琼海,Qionghai,琼海博鳌机场,Qionghai Bo'ao,19.13969,110.455772,Asia/Shanghai
CN,ZJSY,SYX,三亚,Sanya,三亚凤凰国际机场,Sanya Phoenix,18.302891,109.412201,Asia/Shanghai
CN,ZLAK,AKA,安康,,安康五里铺机场,,32.708099,108.931,Asia/Shanghai
CN,ZLDH,DNH,敦煌,Dunhuang,敦煌机场,Dunhuang,40.16111,94.809158,Asia/Shanghai
CN,ZLDL,HXD,德令哈,,德令哈机场,,37.128611,97.266388,Asia/Shanghai
CN,ZLGL,GMQ,果洛,Golog,果洛玛沁机场,Golog Maqin Airport,34.42172,100.30151,Asia/Shanghai
CN,ZLGM,GOQ,格尔木,Golmud,格尔木机场,Golmud,36.4006,94.786102,Asia/Shanghai
CN,ZLGY,GYU,固原,Guyuan,固原六盘山机场,Guyuan Liupanshan,36.07,106.209999,Asia/Shanghai
CN,ZLHX,HTT,茫崖,,茫崖花土沟机场,,38.203333,90.841666,Asia/Shanghai
CN,ZLHZ,HZG,汉中,Hanzhong,汉中城固机场,Hanzhong Chenggu,33.063599,107.008003,Asia/Shanghai
CN,ZLIC,INC,银川,Yinchuan,银川河东国际机场,Yinchuan Hedong,38.322769,106.393303,Asia/Shanghai
CN,ZLJC,JIC,金昌,Jinchang,金昌金川机场,Jinchuan,38.541943,102.347778,Asia/Shanghai
CN,ZLJQ,JGN,嘉峪关,Jiayuguan,嘉峪关机场,Jiayuguan,39.830002,98.410004,Asia/Shanghai
CN,ZLLL,LHW,兰州,Lanzhou,兰州中川国际机场,Lanzhou Zhongchuan,36.51524,103.620697,Asia/Shanghai
CN,ZLLN,LNL,陇南,Longnan,陇南成县机场,Longnan Cheng Xian,33.787998,105.796997,Asia/Shanghai
CN,ZLQY,IQN,庆阳,Qingyang,庆阳西峰机场,Qingyang,35.799701,107.602997,Asia/Shanghai
CN,ZLTS,THQ,天水,Tianshui,天水麦积山机场,Maijishan,34.558334,105.861115,Asia/Shanghai
CN,ZLXH,GXH,甘南,Gannan,甘南夏河机场,Gannan Xiahe,34.810555,102.644722,Asia/Shanghai
CN,ZLXN,XNN,西宁,Xining,西宁曹家堡国际机场,Xining Caojiabao,36.525322,102.037537,Asia/Shanghai
CN,ZLXY,XIY,西安,Xi'an,西安咸阳国际机场,Xianyang,34.447109,108.751503,Asia/Shanghai
CN,ZLYA,ENY,延安,Yan'an,延安南泥湾机场,Yan'an Ershilipu,36.636902,109.554001,Asia/Shanghai
CN,ZLYL,UYN,榆林,Yulin,榆林榆阳机场,Yulin Yuyang,38.274166,109.730278,Asia/Shanghai
CN,ZLYS,YUS,玉树,Yushu,玉树巴塘机场,Yushu Batang,32.839466,97.037788,Asia/Shanghai
CN,ZLZW,ZHY,中卫,Zhongwei,中卫沙坡头机场,Zhongwei,37.568935,105.152527,Asia/Shanghai
CN,ZLZY,YZY,张掖,Zhangye,张掖甘州机场,Ganzhou,38.801945,100.675003,Asia/Shanghai
CN,ZPBS,BSD,保山,Baoshan,保山云瑞机场,Baoshan Yunduan,25.055182,99.16143,Asia/Shanghai
CN,ZPCW,CWJ,沧源,Cangyuan,沧源佤山机场,Cangyuan Washan,23.273478,99.369987,Asia/Shanghai
CN,ZPDL,DLU,大理,Dali,大理机场,Dali,25.649401,100.319,Asia/Shanghai
CN,ZPDQ,DIG,迪庆,Shangri-La,迪庆香格里拉机场,Shangri-La Diqing,27.793333,99.67733,Asia/Shanghai
CN,ZPJH,JHG,西双版纳,Jinghong,西双版纳嘎洒国际机场,Jinghong Xishuangbanna Gasa,21.973421,100.766457,Asia/Shanghai
CN,ZPJM,JMJ,澜沧,Lancang,澜沧景迈机场,Lancang Jingmai,22.415833,99.786392,Asia/Shanghai
CN,ZPLC,LNJ,临沧,Lincang,临沧博尚机场,Boshang,23.738333,100.025002,Asia/Shanghai
CN,ZPLJ,LJG,丽江,Lijiang,丽江三义国际机场,Lijiang Sanyi,26.683332,100.25,Asia/Shanghai
CN,ZPMS,LUM,德宏,Mangshi,德宏芒市机场,Mangshi,24.405279,98.531898,Asia/Shanghai
CN,ZPNL,NLH,宁蒗,Ninglang,宁蒗泸沽湖机场,Luguhu,27.542559,100.759323,Asia/Shanghai
CN,ZPPP,KMG,昆明,Kunming,昆明长水国际机场,Changshui,25.101944,102.929169,Asia/Shanghai
CN,ZPSM,SYM,普洱,Pu'er,普洱思茅机场,Pu'er Simao,22.79657,100.962219,Asia/Shanghai
CN,ZPWS,WNH,文山,Wenshan,文山普者黑机场,Puzhehei,23.374907,104.242561,Asia/Shanghai
CN,ZPZT,ZAT,昭通,Zhaotong,昭通机场,Zhaotong,27.316668,103.800003,Asia/Shanghai
CN,ZSAM,XMN,厦门,Xiamen,厦门高崎国际机场,Xiamen Gaoqi,24.544029,118.127701,Asia/Shanghai
CN,ZSAQ,AQG,安庆,Anqing,安庆天柱山机场,Anqing Tianzhushan,30.582222,117.050278,Asia/Shanghai
CN,ZSCG,CZX,常州,Changzhou,常州奔牛国际机场,Changzhou Benniu,31.91972,119.778603,Asia/Shanghai
CN,ZSCN,KHN,南昌,Nanchang,南昌昌北国际机场,Nanchang Changbei,28.865,115.900002,Asia/Shanghai
CN,ZSDY,DOY,东营,Dongying,东营胜利机场,Dongying Shengli,37.510277,118.784447,Asia/Shanghai
CN,ZSFY,FUG,阜阳,Fuyang,阜阳西关机场,Fuyang Xiguan,32.882156,115.734367,Asia/Shanghai
CN,ZSFZ,FOC,福州,Fuzhou,福州长乐国际机场,Fuzhou Changle,25.935061,119.6632,Asia/Shanghai
CN,ZSGS,JGS,吉安,Ji'an,吉安井冈山机场,Ji'an,26.899721,114.737503,Asia/Shanghai
CN,ZSGZ,KOW,赣州,Ganzhou,赣州黄金机场,Ganzhou Huangjin,25.851667,114.776665,Asia/Shanghai
CN,ZSHC,HGH,杭州,Hangzhou,杭州萧山国际机场,Hangzhou Xiaoshan,30.2295,120.434402,Asia/Shanghai
CN,ZSJD,JDZ,景德镇,Jingdezhen,景德镇罗家机场,Jingdezhen Luojia,29.33861,117.175797,Asia/Shanghai
CN,ZSJG,JNG,济宁,Jining,济宁曲阜机场,Jining Qufu,35.290001,116.339996,Asia/Shanghai
CN,ZSJH,JUH,池州,Chizhou,池州九华山机场,Chizhou Jiuhuashan,30.740278,117.686668,Asia/Shanghai
CN,ZSJN,TNA,济南,Jinan,济南遥墙国际机场,Jinan Yaoqiang,36.857208,117.215897,Asia/Shanghai
CN,ZSJU,JUZ,衢州,Quzhou,衢州机场,Quzhou,28.965799,118.899002,Asia/Shanghai
